Track,Artist,Album Name,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Popularity,YouTube Views,TikTok Views,Explicit Track,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
Envolver,Anitta,Envolver - Single,11/11/2021,USWL12100576,401,76.2,635241142.0,65.0,836072339.0,9427647770.0,0,3IAfUEeaXRX9s9UdKOJrFI,Anitta,Envolver,Envolver,84,193805,False,0.812,0.736,4,-5.421,0,0.0833,0.152,0.00254,0.0914,0.396,91.993,4,funk
Envolver,Anitta,Envolver - Single,11/11/2021,USWL12100576,401,76.2,635241142.0,65.0,836072339.0,9427647770.0,0,3FkeNbs9Zeiqkr3WkbOiGp,Anitta,Versions of Me,Envolver,76,193805,False,0.812,0.736,4,-5.421,0,0.0833,0.152,0.00254,0.0914,0.396,91.993,4,funk
you broke me first,Tate McRae,you broke me first,4/17/2020,USRC12000832,409,75.6,1439465700.0,77.0,706284693.0,1383885042.0,1,45bE4HXI0AwGZXfZtMp8JR,Tate McRae,you broke me first,you broke me first,84,169265,True,0.667,0.373,4,-9.389,1,0.05,0.785,0.0,0.0906,0.0823,124.148,4,pop
Faint,Linkin Park,Papercuts,4/12/2024,USWB12401896,412,75.4,670009914.0,,,,0,4Yf5bqU3NK4kNOypcrLYwU,Linkin Park,Meteora,Faint,77,162600,False,0.554,0.978,4,-3.554,1,0.131,0.111,0.0,0.0731,0.594,135.095,4,alternative
Faint,Linkin Park,Papercuts,4/12/2024,USWB12401896,412,75.4,670009914.0,,,,0,7AB0cUXnzuSlAnyHOqmrZr,Linkin Park,Meteora (Bonus Edition),Faint,66,162600,False,0.554,0.978,4,-3.554,1,0.131,0.111,0.0,0.0731,0.594,135.095,4,alternative
Cradles,Sub Urban,Cradles,1/4/2019,GB2LD1800949,418,75.2,737097685.0,68.0,1098942075.0,8841517566.0,0,47UFoOuvrkt4khE7c5aap6,Sub Urban,Cradles,Cradles,76,209829,False,0.537,0.586,6,-1.864,1,0.314,0.265,7.04e-05,0.175,0.624,79.056,4,indie-pop
Under The Influence,Chris Brown,Indigo (Extended),10/4/2019,USRC11902743,423,74.9,1249760413.0,79.0,699931779.0,2436202278.0,1,5IgjP7X4th6nMNDh4akUHb,Chris Brown,Indigo (Extended),Under The Influence,96,184613,True,0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,4,dance
Life Goes On,Oliver Tree,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",7/17/2020,USAT22007153,424,74.8,568230113.0,68.0,531872316.0,11938256726.0,0,0eu4C55hL6x29mmeAjytzC,Oliver Tree,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",Life Goes On,79,161803,False,0.7,0.49,0,-5.187,1,0.076,0.186,0.0,0.117,0.569,79.982,4,alternative
Life Goes On,Oliver Tree,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",7/17/2020,USAT22007153,424,74.8,568230113.0,68.0,531872316.0,11938256726.0,0,47U8UsDT7LHPkZ2Jm4qnvm,Oliver Tree,20's Rock,Life Goes On,0,161803,False,0.7,0.49,0,-5.187,1,0.076,0.186,0.0,0.117,0.569,79.982,4,alternative
Life Goes On,Oliver Tree,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",7/17/2020,USAT22007153,424,74.8,568230113.0,68.0,531872316.0,11938256726.0,0,5DCpa5sx8KAHUbbMf4Ug3W,Oliver Tree,The State of Pop,Life Goes On,0,161803,False,0.7,0.49,0,-5.187,1,0.076,0.186,0.0,0.117,0.569,79.982,4,alternative
Life Goes On,Oliver Tree,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",7/17/2020,USAT22007153,424,74.8,568230113.0,68.0,531872316.0,11938256726.0,0,1c8XAD2VT1O68YwWvDaJQY,Oliver Tree,Coffee Chill,Life Goes On,2,161803,False,0.7,0.49,0,-5.187,1,0.076,0.186,0.0,0.117,0.569,79.982,4,alternative
Life Goes On,Oliver Tree,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",7/17/2020,USAT22007153,424,74.8,568230113.0,68.0,531872316.0,11938256726.0,0,2sNvA9nxGE52pupLXhAuDm,Oliver Tree,US Pop 20s,Life Goes On,0,161803,False,0.7,0.49,0,-5.187,1,0.076,0.186,0.0,0.117,0.569,79.982,4,alternative
Life Goes On,Oliver Tree,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",7/17/2020,USAT22007153,424,74.8,568230113.0,68.0,531872316.0,11938256726.0,0,1tLemH0qMIlgVyijet0z3S,Oliver Tree,Relaxing Pop,Life Goes On,2,161803,False,0.7,0.49,0,-5.187,1,0.076,0.186,0.0,0.117,0.569,79.982,4,alternative
Rock and A Hard Place,Bailey Zimmerman,Rock and A Hard Place,6/10/2022,USWB12201797,430,74.4,412845771.0,73.0,215094924.0,777869891.0,0,4kUrtRwzg1W6jN38Qk0Z5U,Bailey Zimmerman,All That Really Matters - Just Hits,Rock and a Hard Place,0,207540,False,0.582,0.568,1,-7.3,1,0.0275,0.577,0.0,0.105,0.394,121.991,3,country
Rock and A Hard Place,Bailey Zimmerman,Rock and A Hard Place,6/10/2022,USWB12201797,430,74.4,412845771.0,73.0,215094924.0,777869891.0,0,1cH9CLvZO8Tk4xvKOPCM4d,Bailey Zimmerman,rainy day indie,Rock and a Hard Place,2,207540,False,0.582,0.568,1,-7.3,1,0.0275,0.577,0.0,0.105,0.394,121.991,3,country
Rock and A Hard Place,Bailey Zimmerman,Rock and A Hard Place,6/10/2022,USWB12201797,430,74.4,412845771.0,73.0,215094924.0,777869891.0,0,0WClv9xPvQPeuZcPwP0VZf,Bailey Zimmerman,Daily Pop Mix,Rock and a Hard Place,0,207540,False,0.582,0.568,1,-7.3,1,0.0275,0.577,0.0,0.105,0.394,121.991,3,country
Rock and A Hard Place,Bailey Zimmerman,Rock and A Hard Place,6/10/2022,USWB12201797,430,74.4,412845771.0,73.0,215094924.0,777869891.0,0,4wFn8ntlog7h00pewaY4KJ,Bailey Zimmerman,Hideaway - New Boots,Rock and a Hard Place,0,207540,False,0.582,0.568,1,-7.3,1,0.0275,0.577,0.0,0.105,0.394,121.991,3,country
Rock and A Hard Place,Bailey Zimmerman,Rock and A Hard Place,6/10/2022,USWB12201797,430,74.4,412845771.0,73.0,215094924.0,777869891.0,0,4wzN1hkeCOZumvfN8eKwJk,Bailey Zimmerman,I'm Blue - Hits of 2022,Rock and a Hard Place,0,207540,False,0.582,0.568,1,-7.3,1,0.0275,0.577,0.0,0.105,0.394,121.991,3,country
Rock and A Hard Place,Bailey Zimmerman,Rock and A Hard Place,6/10/2022,USWB12201797,430,74.4,412845771.0,73.0,215094924.0,777869891.0,0,0CJnj7jeQoDlupfJt9IVxS,Bailey Zimmerman,Your Perfect Soundtrack,Rock and a Hard Place,1,207540,False,0.582,0.568,1,-7.3,1,0.0275,0.577,0.0,0.105,0.394,121.991,3,country
Rock and A Hard Place,Bailey Zimmerman,Rock and A Hard Place,6/10/2022,USWB12201797,430,74.4,412845771.0,73.0,215094924.0,777869891.0,0,33AUzFOiyOtWEr9aNU2d6H,Bailey Zimmerman,Laidback Country,Rock and a Hard Place,0,207540,False,0.582,0.568,1,-7.3,1,0.0275,0.577,0.0,0.105,0.394,121.991,3,country
Rock and A Hard Place,Bailey Zimmerman,Rock and A Hard Place,6/10/2022,USWB12201797,430,74.4,412845771.0,73.0,215094924.0,777869891.0,0,0fchsvPWZULjTtlp8I6ehS,Bailey Zimmerman,Single Saturday Night - Country Songs,Rock and a Hard Place,0,207540,False,0.582,0.568,1,-7.3,1,0.0275,0.577,0.0,0.105,0.394,121.991,3,country
Rock and A Hard Place,Bailey Zimmerman,Rock and A Hard Place,6/10/2022,USWB12201797,430,74.4,412845771.0,73.0,215094924.0,777869891.0,0,6QQ5e8x9yRj62orHvwTFMo,Bailey Zimmerman,Oklahoma Smokeshow - Breakout Country,Rock and a Hard Place,0,207540,False,0.582,0.568,1,-7.3,1,0.0275,0.577,0.0,0.105,0.394,121.991,3,country
Rock and A Hard Place,Bailey Zimmerman,Rock and A Hard Place,6/10/2022,USWB12201797,430,74.4,412845771.0,73.0,215094924.0,777869891.0,0,4686eQ81DEswHa90bcdlC9,Bailey Zimmerman,Rock and A Hard Place,Rock and A Hard Place,84,207540,False,0.582,0.568,1,-7.3,1,0.0275,0.577,0.0,0.105,0.394,121.991,3,country
DDU-DU DDU-DU,BLACKPINK,SQUARE UP,6/15/2018,KRA401800096,434,74.0,701726499.0,65.0,3435321800.0,683794564.0,0,69BIczdH6QMnFx7dsSssN8,BLACKPINK,SQUARE UP,DDU-DU DDU-DU,71,209355,False,0.671,0.859,4,-3.922,0,0.0833,0.0313,0.0,0.267,0.39,139.931,4,k-pop
Wake Me Up,Avicii,TRUE,1/1/2013,SEUM71301326,436,73.7,2325017580.0,81.0,3214634614.0,360378218.0,0,0nrRP2bk19rLc0orkWPQk2,Avicii,True,Wake Me Up,85,247426,False,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,4,dance
Kings & Queens,Ava Max,Kings & Queens,3/12/2020,USAT21906943,440,73.4,955439608.0,73.0,627987518.0,2036664297.0,0,7a53HqqArd4b9NF4XAmlbI,Ava Max,Heaven & Hell,Kings & Queens,81,162398,False,0.637,0.69,1,-4.057,0,0.0405,0.00786,0.0,0.124,0.457,129.857,4,dance
Kings & Queens,Ava Max,Kings & Queens,3/12/2020,USAT21906943,440,73.4,955439608.0,73.0,627987518.0,2036664297.0,0,1Pbi2GANYWp4ZtfXappkGd,Ava Max,La Fine dell'Estate,Kings & Queens,5,162398,False,0.637,0.69,1,-4.057,0,0.0405,0.00786,0.0,0.124,0.457,129.857,4,dance
HIGHEST IN THE ROOM,Travis Scott,HIGHEST IN THE ROOM,10/4/2019,USSM11904276,443,73.2,1625149693.0,78.0,925241514.0,713021988.0,1,3eekarcy7kvN4yt5ZFzltW,Travis Scott,HIGHEST IN THE ROOM,HIGHEST IN THE ROOM,82,175720,True,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,4,hip-hop
F.N,Lil Tjay,F.N,8/9/2019,USSM11904899,461,71.7,731933924.0,70.0,534384489.0,173278256.0,1,0RLLvYBopDwooCyvnTwgYu,Lil Tjay,True 2 Myself,F.N,78,224000,True,0.567,0.515,6,-10.265,0,0.247,0.354,0.0,0.078,0.321,120.1,1,r-n-b
F.N,Lil Tjay,F.N,8/9/2019,USSM11904899,461,71.7,731933924.0,70.0,534384489.0,173278256.0,1,0UPBidRYcgJ2mjZlk08V8x,Lil Tjay,F.N,F.N,57,224000,True,0.562,0.502,6,-10.269,0,0.255,0.323,0.0,0.0757,0.322,120.104,1,r-n-b
Say You Won't Let Go,James Arthur,Say You Won't Let Go,9/9/2016,DEE861600586,462,71.5,2830962669.0,82.0,2083619058.0,792720612.0,0,5uCax9HTNlzGybIStD3vDh,James Arthur,Back from the Edge,Say You Won't Let Go,85,211466,False,0.358,0.557,10,-7.398,1,0.059,0.695,0.0,0.0902,0.494,85.043,4,pop
Blank Space,Taylor Swift,1989 (Deluxe),1/1/2014,USCJY1431309,463,71.5,1829733410.0,76.0,3624778617.0,346032878.0,0,1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,1989 (Deluxe),Blank Space,85,231826,False,0.76,0.703,5,-5.412,1,0.054,0.103,0.0,0.0913,0.57,95.997,4,pop
HUMBLE.,Kendrick Lamar,HUMBLE.,3/31/2017,USUM71703085,466,71.4,2226869580.0,80.0,1281355260.0,769720113.0,1,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,DAMN.,HUMBLE.,84,177000,True,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,4,hip-hop
Super Freaky Girl,Nicki Minaj,Super Freaky Girl,8/12/2022,USUM72215262,468,71.2,549382975.0,64.0,128432797.0,5107877505.0,1,4C6Uex2ILwJi9sZXRdmqXp,Nicki Minaj,Super Freaky Girl,Super Freaky Girl,92,170977,True,0.95,0.891,2,-2.653,1,0.241,0.0645,1.77e-05,0.309,0.912,133.01,4,dance
Super Freaky Girl,Nicki Minaj,Super Freaky Girl,8/12/2022,USUM72215262,468,71.2,549382975.0,64.0,128432797.0,5107877505.0,1,2yjlYDiNiQkdxVqTlaSrlX,Nicki Minaj,Queen Radio: Volume 1,Super Freaky Girl,83,170977,True,0.951,0.878,2,-2.565,1,0.211,0.0509,1.61e-05,0.321,0.923,133.014,4,dance
Something in the Orange,Zach Bryan,Something in the Orange,4/22/2022,USWB12201213,478,70.4,891578597.0,82.0,121756122.0,536850823.0,0,1e3QZ42GsP8cTy5uQ0G7J3,Zach Bryan,New Country,Something in the Orange,3,228013,False,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,3,country
Something in the Orange,Zach Bryan,Something in the Orange,4/22/2022,USWB12201213,478,70.4,891578597.0,82.0,121756122.0,536850823.0,0,5Vnx0s7H73V3l6qPWvbHIM,Zach Bryan,Easy Country,Something in the Orange,4,228013,False,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,3,country
Something in the Orange,Zach Bryan,Something in the Orange,4/22/2022,USWB12201213,478,70.4,891578597.0,82.0,121756122.0,536850823.0,0,0aEPP6wdKf2uBYEz72gnAe,Zach Bryan,Relaxing Pop,Something in the Orange,4,228013,False,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,3,country
Something in the Orange,Zach Bryan,Something in the Orange,4/22/2022,USWB12201213,478,70.4,891578597.0,82.0,121756122.0,536850823.0,0,1Op9SWtCrRGmax5BjNehes,Zach Bryan,It's You - Fresh Hits,Something in the Orange,2,228013,False,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,3,country
Something in the Orange,Zach Bryan,Something in the Orange,4/22/2022,USWB12201213,478,70.4,891578597.0,82.0,121756122.0,536850823.0,0,3IMghNhZWUZ2S1PjXK7zBd,Zach Bryan,Beautiful Trending Hits 2022,Something in the Orange,2,228013,False,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,3,country
Something in the Orange,Zach Bryan,Something in the Orange,4/22/2022,USWB12201213,478,70.4,891578597.0,82.0,121756122.0,536850823.0,0,0VFF0uBG8KYutpiF4C8DA0,Zach Bryan,rainy day indie,Something in the Orange,1,228013,False,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,3,country
Something in the Orange,Zach Bryan,Something in the Orange,4/22/2022,USWB12201213,478,70.4,891578597.0,82.0,121756122.0,536850823.0,0,3FOLF9tK1usNKU5EriOv4G,Zach Bryan,I'm Blue - Hits of 2022,Something in the Orange,1,228013,False,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,3,country
Something in the Orange,Zach Bryan,Something in the Orange,4/22/2022,USWB12201213,478,70.4,891578597.0,82.0,121756122.0,536850823.0,0,1B3WNcUnRMZvJ9YPVYmW7u,Zach Bryan,Hideaway - New Boots,Something in the Orange,0,228013,False,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,3,country
Something in the Orange,Zach Bryan,Something in the Orange,4/22/2022,USWB12201213,478,70.4,891578597.0,82.0,121756122.0,536850823.0,0,0DgoQwJjr6oM5vFIRtFJNu,Zach Bryan,Give You Love - Cozy Hits,Something in the Orange,0,228013,False,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,3,country
Something in the Orange,Zach Bryan,Something in the Orange,4/22/2022,USWB12201213,478,70.4,891578597.0,82.0,121756122.0,536850823.0,0,3PoUfHaM3PVrqDXhKUqPW2,Zach Bryan,Hits Hits Hits,Something in the Orange,0,228013,False,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,3,country
Something in the Orange,Zach Bryan,Something in the Orange,4/22/2022,USWB12201213,478,70.4,891578597.0,82.0,121756122.0,536850823.0,0,4F2xA29Ea6dt4Nw0yiztvT,Zach Bryan,Oklahoma Smokeshow - Breakout Country,Something in the Orange,1,228013,False,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,3,country
Something in the Orange,Zach Bryan,Something in the Orange,4/22/2022,USWB12201213,478,70.4,891578597.0,82.0,121756122.0,536850823.0,0,32nkedxdwf3uW4jS8Jdxca,Zach Bryan,Cozy Country,Something in the Orange,0,228013,False,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,3,country
Something in the Orange,Zach Bryan,Something in the Orange,4/22/2022,USWB12201213,478,70.4,891578597.0,82.0,121756122.0,536850823.0,0,7nbj09isjVmgNYJ7eKBzyt,Zach Bryan,Your Perfect Soundtrack,Something in the Orange,0,228013,False,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,3,country
Something in the Orange,Zach Bryan,Something in the Orange,4/22/2022,USWB12201213,478,70.4,891578597.0,82.0,121756122.0,536850823.0,0,7C9wYAslZ7ffzhJZTyaCYs,Zach Bryan,Laidback Country,Something in the Orange,0,228013,False,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,3,country
Something in the Orange,Zach Bryan,Something in the Orange,4/22/2022,USWB12201213,478,70.4,891578597.0,82.0,121756122.0,536850823.0,0,7M9ZOPynXtdsAYhDCeeYnN,Zach Bryan,Single Saturday Night - Country Songs,Something in the Orange,0,228013,False,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,3,country
Something in the Orange,Zach Bryan,Something in the Orange,4/22/2022,USWB12201213,478,70.4,891578597.0,82.0,121756122.0,536850823.0,0,3WMj8moIAXJhHsyLaqIIHI,Zach Bryan,Something in the Orange,Something in the Orange,89,228013,False,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,3,country
Treat You Better,Shawn Mendes,Treat You Better,6/3/2016,USUM71604711,481,70.2,2164074552.0,80.0,2766700889.0,218876789.0,0,3QGsuHI8jO1Rx4JWLUh9jd,Shawn Mendes,Illuminate,Treat You Better,84,187973,False,0.444,0.819,10,-4.078,0,0.341,0.106,0.0,0.107,0.747,82.695,4,dance
Treat You Better,Shawn Mendes,Treat You Better,6/3/2016,USUM71604711,481,70.2,2164074552.0,80.0,2766700889.0,218876789.0,0,3FoGOiDJWs1zKqtAlRQNwa,Shawn Mendes,10's Music Grandi Successi,Treat You Better,5,187973,False,0.443,0.82,10,-4.091,0,0.34,0.107,0.0,0.107,0.771,82.697,4,dance
Treat You Better,Shawn Mendes,Treat You Better,6/3/2016,USUM71604711,481,70.2,2164074552.0,80.0,2766700889.0,218876789.0,0,6XNVTUjEi4HnTvOG0fC74O,Shawn Mendes,Sunny Mornings,Treat You Better,0,187973,False,0.443,0.82,10,-4.091,0,0.34,0.107,0.0,0.107,0.771,82.697,4,dance
Treat You Better,Shawn Mendes,Treat You Better,6/3/2016,USUM71604711,481,70.2,2164074552.0,80.0,2766700889.0,218876789.0,0,4rCyiBhNUqpbtSyoeomIL8,Shawn Mendes,Fiesta de disfraces vol. II,Treat You Better,0,187973,False,0.443,0.82,10,-4.091,0,0.34,0.107,0.0,0.107,0.771,82.697,4,dance
Let Her Go,Passenger,Let Her Go,7/27/2012,GBMQN1200012,484,70.1,2252713547.0,69.0,3967431755.0,198665893.0,0,2pUpNOgJBIBCcjyQZQ00qU,Passenger,All the Little Lights (Deluxe),Let Her Go,75,252733,False,0.445,0.541,7,-7.36,1,0.0736,0.359,0.0,0.109,0.217,76.289,4,folk
Stressed Out,Twenty One Pilots,Stressed Out,4/28/2015,USAT21500597,482,70.1,2313532702.0,79.0,3241796669.0,664725202.0,0,3CRDbSIZ4r5MsZ0YwxuEkn,Twenty One Pilots,Blurryface,Stressed Out,85,202333,False,0.734,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,4,rock
Stressed Out,Twenty One Pilots,Stressed Out,4/28/2015,USAT21500597,482,70.1,2313532702.0,79.0,3241796669.0,664725202.0,0,5sIxLex6QZ5WgB0lnKblHz,Twenty One Pilots,All Out Alternative,Stressed Out,2,202333,False,0.735,0.638,4,-5.67,0,0.139,0.0459,2.38e-05,0.0602,0.669,169.976,4,rock
Astronaut In The Ocean,Masked Wolf,Astronaut In The Ocean (International Remixes),1/1/2019,USAT22100017,486,70.0,1251675613.0,67.0,1001433936.0,338873585.0,1,3Ofmpyhv5UAQ70mENzB277,Masked Wolf,Astronaut In The Ocean,Astronaut In The Ocean,79,132780,True,0.778,0.695,4,-6.865,0,0.0913,0.175,0.0,0.15,0.472,149.996,4,hip-hop
All of Me,John Legend,Love In The Future (South Africa Tour Edition),1/1/2012,USSM11303954,487,69.8,2382407025.0,80.0,3064193777.0,643209321.0,0,3U4isOIWM3VvDubwSI3y7a,John Legend,Love In The Future (Expanded Edition),All of Me,85,269560,False,0.422,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93,4,soul
2055,Sleepy Hallow,2055,4/14/2021,USRC12100442,488,69.7,811700245.0,77.0,168936854.0,752325431.0,1,4XvcHTUfIlWfyJTRG0aqlo,Sleepy Hallow,Still Sleep?,2055,81,123986,True,0.829,0.512,6,-5.865,0,0.187,0.492,0.0,0.12,0.638,80.511,4,r-n-b
2055,Sleepy Hallow,2055,4/14/2021,USRC12100442,488,69.7,811700245.0,77.0,168936854.0,752325431.0,1,0mG6igzxbH55XRyq3ygEh8,Sleepy Hallow,2055,2055,73,123986,True,0.775,0.518,6,-5.857,0,0.311,0.455,0.0,0.121,0.646,161.011,4,r-n-b
You Proof,Morgan Wallen,You Proof,5/13/2022,USUG12203266,494,69.3,644437397.0,79.0,141964689.0,327463451.0,0,5uU1uuyaUIBOiiUSQG7Wl3,Morgan Wallen,You Proof,You Proof,86,157477,False,0.731,0.85,9,-4.913,1,0.0336,0.252,0.0,0.605,0.644,119.706,4,country
Break My Heart,Dua Lipa,Break My Heart,3/25/2020,GBAHT1901303,496,69.2,1198689895.0,71.0,761387435.0,1509626629.0,0,017PF4Q3l4DBUiWoXk4OWT,Dua Lipa,Future Nostalgia,Break My Heart,78,221820,False,0.73,0.729,4,-3.434,0,0.0884,0.167,1.39e-06,0.349,0.467,113.011,4,dance
Shut Down,BLACKPINK,BORN PINK,9/16/2022,KRA402200020,497,69.0,654818451.0,67.0,633781726.0,3365539262.0,0,6tCd8bPvYnceDG7W9M1RMk,BLACKPINK,BORN PINK,Shut Down,87,175889,False,0.813,0.657,0,-6.447,1,0.0372,0.00269,0.0,0.183,0.651,110.053,3,k-pop
Shut Down,BLACKPINK,BORN PINK,9/16/2022,KRA402200020,497,69.0,654818451.0,67.0,633781726.0,3365539262.0,0,34TQk2yqzMX6X3AAAOeUvT,BLACKPINK,BORN PINK,Shut Down,73,175889,False,0.813,0.657,0,-6.447,1,0.0372,0.00269,0.0,0.183,0.651,110.053,3,k-pop
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),5/6/2022,USRC12201441,509,68.2,553783547.0,68.0,238368386.0,2994040421.0,1,0hquQWY3xvYqN4qtiquniF,Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),Vegas (From the Original Motion Picture Soundtrack ELVIS),90,182906,True,0.801,0.601,8,-7.574,0,0.255,0.0777,3.23e-05,0.145,0.74,159.969,4,dance
"thank u, next",Ariana Grande,"thank u, next",11/3/2018,USUM71819361,515,68.0,1878196824.0,73.0,1479999649.0,982464070.0,1,3e9HZxeyfWwjeyPAMmWSSQ,Ariana Grande,"thank u, next","thank u, next",82,207320,True,0.717,0.653,1,-5.634,1,0.0658,0.229,0.0,0.101,0.412,106.966,4,dance
Hope,XXXTENTACION,?,3/16/2018,USUG11800447,519,67.8,1442703001.0,78.0,460915912.0,325870631.0,1,2ZRo7axmMPeSVUvDbGkJah,XXXTENTACION,?,Hope,86,110886,True,0.592,0.457,9,-6.081,0,0.0603,0.661,0.000331,0.146,0.225,146.04,4,emo
Hope,XXXTENTACION,?,3/16/2018,USUG11800447,519,67.8,1442703001.0,78.0,460915912.0,325870631.0,1,1HUONmrq0euHYmiIrmYqPq,XXXTENTACION,Tik Tock 2021,Hope,33,110886,True,0.598,0.457,9,-6.081,0,0.0602,0.661,0.000331,0.146,0.225,146.052,4,emo
Hope,XXXTENTACION,?,3/16/2018,USUG11800447,519,67.8,1442703001.0,78.0,460915912.0,325870631.0,1,6Kg7OhjYmLap8DXVHivRPC,XXXTENTACION,? (Deluxe),Hope,50,110886,True,0.592,0.457,9,-6.081,0,0.0603,0.661,0.000331,0.146,0.225,146.04,4,emo
WITHOUT YOU,The Kid LAROI,F*CK LOVE (SAVAGE),11/6/2020,USSM12006586,524,67.0,927908363.0,69.0,201781716.0,2189403368.0,1,27OeeYzk6klgBh83TSvGMA,The Kid LAROI,F*CK LOVE (SAVAGE),WITHOUT YOU,80,161384,True,0.662,0.413,0,-7.357,1,0.0299,0.213,0.0,0.134,0.467,93.005,4,hip-hop
Blister In The Sun,Violent Femmes,Violent Femmes (Deluxe Edition),12/1/2023,USC4R2338087,525,66.9,250321751.0,,,,0,7jIAttgQTpLDoNtykIQXjH,Violent Femmes,Violent Femmes,Blister In The Sun,71,145706,False,0.726,0.537,0,-8.896,1,0.114,0.316,0.0,0.0707,0.882,96.889,4,acoustic
Love Yourself,Justin Bieber,Love Yourself,11/9/2015,USUM71516761,530,66.8,2423583406.0,78.0,2154325842.0,546197873.0,0,50kpGaPAhYJ3sGmk6vplg0,Justin Bieber,Purpose (Deluxe),Love Yourself,84,233720,False,0.609,0.378,4,-9.828,1,0.438,0.835,0.0,0.28,0.515,100.418,4,pop
Wasted On You,Morgan Wallen,Dangerous: The Double Album,1/8/2021,USUG12004194,545,65.7,717226454.0,79.0,404363419.0,86145458.0,0,3cBsEDNhFI9E82vPj3kvi3,Morgan Wallen,Dangerous: The Double Album,Wasted On You,83,178520,False,0.505,0.657,11,-5.24,0,0.0318,0.373,0.00107,0.126,0.252,196.0,3,country
Unstoppable,Sia,Unstoppable,1/21/2016,USRC11502934,548,65.5,1285237951.0,76.0,1383536938.0,14808888629.0,0,2J2Z1SkXYghSajLibnQHOa,Sia,This Is Acting,Unstoppable,81,217746,False,0.468,0.779,9,-4.839,1,0.0779,0.112,0.000373,0.101,0.26,173.799,4,dance
Unstoppable,Sia,Unstoppable,1/21/2016,USRC11502934,548,65.5,1285237951.0,76.0,1383536938.0,14808888629.0,0,1yvMUkIOTeUNtNWlWRgANS,Sia,This Is Acting (Deluxe Version),Unstoppable,82,217746,False,0.468,0.779,9,-4.839,1,0.0779,0.112,0.000373,0.101,0.26,173.799,4,dance
traitor,Olivia Rodrigo,SOUR,5/21/2021,USUG12101243,550,65.5,1564979439.0,80.0,500794182.0,2639611818.0,0,5CZ40GBx1sQ9agT82CLQCT,Olivia Rodrigo,SOUR,traitor,88,229226,False,0.38,0.339,3,-7.885,1,0.0338,0.691,0.0,0.12,0.0849,100.607,4,pop
goosebumps,Travis Scott,Birds In The Trap Sing McKnight,9/16/2016,USSM11607555,549,65.5,2396737761.0,82.0,1334796210.0,1545294272.0,1,6gBFPUFcJLzWGx4lenP6h2,Travis Scott,Birds In The Trap Sing McKnight,goosebumps,84,243836,True,0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049,4,hip-hop
