Track,Artist,Release Date,Spotify Streams,Spotify Popularity,YouTube Views,TikTok Views,danceability,energy,valence,tempo,loudness,acousticness,speechiness,instrumentalness,liveness,track_genre,explicit,popularity,year
As It Was,Harry Styles,3/31/2022,3301814535.0,87.0,"800,899,315","15,405,881,843",0.52,0.731,0.662,173.93,-5.338,0.342,0.0557,0.00101,0.311,pop,False,95,2022
Baby Shark,Pinkfong,12/1/2015,720822868.0,71.0,"16,322,756,555","6,577,639,193",0.829,0.886,0.777,115.056,-1.746,0.259,0.112,0.0,0.0559,children,False,77,2015
Shape of You,Ed Sheeran,1/6/2017,3909458734.0,80.0,"8,013,997,219","2,320,856,331",0.825,0.652,0.931,95.977,-3.183,0.581,0.0802,0.0,0.0931,pop,False,86,2017
Blinding Lights,The Weeknd,11/29/2019,4281468720.0,83.0,"833,807,130","3,501,177,394",0.514,0.73,0.334,171.005,-5.934,0.00146,0.0598,9.54e-05,0.0897,pop,False,91,2019
Heat Waves,Glass Animals,6/29/2020,2996181078.0,82.0,"1,272,898,075","5,518,429,969",0.761,0.525,0.531,80.87,-6.9,0.44,0.0944,6.7e-06,0.0921,indie-pop,False,85,2020
In the End,Linkin Park,4/12/2024,2045512421.0,,,,0.556,0.864,0.4,105.143,-5.87,0.00958,0.0584,0.0,0.209,alternative,False,85,2024
Old Town Road,Lil Nas X,3/14/2019,1010494713.0,67.0,"3,203,314,695","1,981,431,049",0.907,0.53,0.507,135.998,-6.112,0.0578,0.127,2.23e-06,0.101,hip-hop,False,77,2019
Perfect,Ed Sheeran,3/3/2017,2969999682.0,81.0,"6,473,698,897","7,647,479,866",0.599,0.448,0.168,95.05,-6.312,0.163,0.0232,0.0,0.106,pop,False,87,2017
Pepas,Farruko,6/24/2021,1500499584.0,74.0,"1,431,591,689","4,067,248,819",0.762,0.766,0.442,130.001,-3.955,0.00776,0.0343,6.98e-05,0.128,latin,True,86,2021
Easy On Me,Adele,10/14/2021,1720918065.0,73.0,"1,194,846,205","7,860,224,413",0.604,0.366,0.13,141.981,-7.519,0.578,0.0282,0.0,0.133,british,False,85,2021
Believer,Imagine Dragons,1/31/2017,3006226762.0,81.0,"4,495,059,988","5,876,458,723",0.776,0.78,0.666,124.949,-4.374,0.0622,0.128,0.0,0.081,rock,False,88,2017
First Class,Jack Harlow,4/8/2022,818858244.0,71.0,"231,229,581","6,890,780,336",0.905,0.563,0.324,106.998,-6.135,0.0254,0.102,9.71e-06,0.113,hip-hop,True,1,2022
I Ain't Worried,OneRepublic,5/13/2022,1607421145.0,83.0,"409,785,349","1,825,552,705",0.704,0.797,0.825,139.994,-5.927,0.0826,0.0475,0.000745,0.0546,piano,False,96,2022
Dynamite,BTS,8/21/2020,1872577908.0,74.0,"2,638,957,320","5,063,720,138",0.746,0.765,0.737,114.044,-4.41,0.0112,0.0993,0.0,0.0936,k-pop,False,85,2020
Someone You Loved,Lewis Capaldi,11/8/2018,3427498835.0,82.0,"2,153,701,892","2,161,032,034",0.501,0.405,0.446,109.891,-5.679,0.751,0.0319,0.0,0.105,pop,False,87,2018
La Bachata,Manuel Turizo,5/26/2022,1721045197.0,81.0,"798,827,877","2,596,777,974",0.835,0.679,0.85,124.98,-5.329,0.583,0.0364,1.98e-06,0.218,latin,False,98,2022
